title,description,date,date_is_approximate,subject,campus_event,event_category,campus_organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format_original,type,format,language,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Alpha Chi Omega House [01],"Alpha Chi Omega house on 709 Elm Street, prior to remodeling.",1933,yes,sororities; sorority houses,,greek life,alpha chi omega,46.728661,-117.008402,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",001-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/0,0,pg20,image,pg20.jpg,https://objects.lib.uidaho.edu/pg2/pg20.jpg,https://objects.lib.uidaho.edu/pg2/small/pg20_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg20_th.jpg,
Alpha Tau Omega House [05],Alpha Tau Omega house on the northwest corner of Deakin and Idaho Streets.,1971,yes,fraternities; fraternity houses,,greek life,alpha tau omega,46.727975,-117.007075,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",003-006,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1,1,pg21,image,pg21.jpg,https://objects.lib.uidaho.edu/pg2/pg21.jpg,https://objects.lib.uidaho.edu/pg2/small/pg21_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg21_th.jpg,
Alpha Tau Omega House [06],"Students sit around the living room/parlor of the Alpha Tau Omega house, located on the northwest corner of Deakin and Idaho Streets.",1935,yes,fraternities; fraternity houses; students; men,,greek life,alpha tau omega,46.727975,-117.007095,Hodgins,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",003-007,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2,2,pg22,image,pg22.jpg,https://objects.lib.uidaho.edu/pg2/pg22.jpg,https://objects.lib.uidaho.edu/pg2/small/pg22_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg22_th.jpg,
Beta Theta Pi House [01],"Beta Theta Pi house on the northwest corner of Idaho and Elm Streets, after completion.",1926,yes,fraternities; fraternity houses,,greek life,beta theta pi,46.728007,-117.008472,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x3.5 black and white print,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/3,3,pg23,image,pg23.jpg,https://objects.lib.uidaho.edu/pg2/pg23.jpg,https://objects.lib.uidaho.edu/pg2/small/pg23_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg23_th.jpg,
Beta Theta Pi House [02],"Beta Theta Pi house on the northwest corner of Idaho and Elm Streets, after completion.",1926,yes,fraternities; fraternity houses,,greek life,beta theta pi,46.728195,-117.008677,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-002,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x3.5 black and white print,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/4,4,pg24,image,pg24.jpg,https://objects.lib.uidaho.edu/pg2/pg24.jpg,https://objects.lib.uidaho.edu/pg2/small/pg24_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg24_th.jpg,
Beta Theta Pi House [03],Beta Theta Pi house on the northwest corner of Idaho and Elm Streets.,1930,yes,fraternities; fraternity houses,,greek life,beta theta pi,46.728015,-117.008747,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-003,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/5,5,pg25,image,pg25.jpg,https://objects.lib.uidaho.edu/pg2/pg25.jpg,https://objects.lib.uidaho.edu/pg2/small/pg25_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg25_th.jpg,
Beta Theta Pi House [04],Beta Theta Pi house on the northwest corner of Idaho and Elm Streets.,1949,yes,fraternities; fraternity houses,,greek life,beta theta pi,46.728075,-117.008759,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-006,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x3.5 black and white print,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/6,6,pg26,image,pg26.jpg,https://objects.lib.uidaho.edu/pg2/pg26.jpg,https://objects.lib.uidaho.edu/pg2/small/pg26_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg26_th.jpg,
Beta Theta Pi House [06],"Interior view of the living room in the Beta Theta Pi house, which is located on the northwest corner of Idaho and Elm Streets.",1935,yes,fraternities; fraternity houses,,greek life,beta theta pi,46.728199,-117.008642,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-008,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/7,7,pg27,image,pg27.jpg,https://objects.lib.uidaho.edu/pg2/pg27.jpg,https://objects.lib.uidaho.edu/pg2/small/pg27_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg27_th.jpg,
Beta Theta Pi House [05],Beta Theta Pi house on the northwest corner of Idaho and Elm Streets.,1949,yes,fraternities; fraternity houses,,greek life,beta theta pi,46.728082,-117.008648,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-007,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/8,8,pg28,image,pg28.jpg,https://objects.lib.uidaho.edu/pg2/pg28.jpg,https://objects.lib.uidaho.edu/pg2/small/pg28_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg28_th.jpg,
Beta Theta Pi House [07],"Interior view of the den in the Beta Theta Pi house, which is located on the northwest corner of Idaho and Elm Streets.",1935,yes,fraternities; fraternity houses,,greek life,beta theta pi,46.72812,-117.008491,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-009,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/9,9,pg29,image,pg29.jpg,https://objects.lib.uidaho.edu/pg2/pg29.jpg,https://objects.lib.uidaho.edu/pg2/small/pg29_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg29_th.jpg,
